"","bsr","currency","dim_unit","dim_x","dim_y","dim_z","price","reviews","reviews_count","weight","weight_unit","sales"
"1",720,"EUR",NA,NA,NA,NA,43.99,4.2,49,5.6,"Kg",587.5
"2",250,"EUR",NA,NA,NA,NA,15.93,4.5,NA,159,"g",885
"3",9008,"EUR",NA,NA,NA,NA,21.95,4.4,92,798,"g",122.5
"4",147,"EUR",NA,NA,NA,NA,20.26,4.9,NA,181,"g",1536.5
"5",1595,"EUR",NA,NA,NA,NA,24.99,4.3,NA,1.7,"Kg",367.5
"6",455,"EUR",NA,NA,NA,NA,19.63,4.1,NA,NA,NA,675.5
"7",7314,"EUR",NA,NA,NA,NA,31.2,4.5,86,NA,NA,145
"8",160,"EUR",NA,NA,NA,NA,29.61,4.1,NA,2.4,"Kg",1116.5
"9",3603,"EUR",NA,NA,NA,NA,25.33,4.5,NA,2.4,"Kg",193.5
"10",32,"EUR",NA,NA,NA,NA,62.42,4.2,1622,4.2,"von",3240
"11",27,"EUR",NA,NA,NA,NA,22.98,4.2,NA,4.2,"von",3240
"12",112,"EUR",NA,NA,NA,NA,32.99,NA,NA,4,"von",1536.5
"13",1402,"EUR",NA,NA,NA,NA,6.9,3.6,NA,NA,NA,444
"14",4378,"EUR",NA,NA,NA,NA,3.71,3.7,NA,NA,NA,77.5
"15",428640,"EUR",NA,NA,NA,NA,18.3,NA,14,NA,NA,122.5
"16",NA,"EUR",NA,NA,NA,NA,23.99,NA,NA,NA,NA,NA
"17",1113,"EUR",NA,NA,NA,NA,7.95,4.8,NA,118,"g",178
"18",16371,"EUR",NA,NA,NA,NA,5.99,4.3,55,NA,NA,22.5
"19",NA,"EUR",NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA
"20",7269,"EUR",NA,NA,NA,NA,11.49,3.9,20,NA,NA,193.5
"21",2133,"EUR",NA,NA,NA,NA,14.99,4.9,26,68,"g",198.5
"22",2656,"EUR",NA,NA,NA,NA,NA,4.3,12,4.3,"von",118
"23",3894,"EUR",NA,NA,NA,NA,29.99,4.6,NA,4.6,"von",193.5
"24",7083,"EUR",NA,NA,NA,NA,10.9,NA,11,NA,NA,145
